Timestamp,Posture
2022_07_24_09_00_24,4
2022_07_24_09_10_24,4
2022_07_24_09_20_24,4
2022_07_24_09_30_24,4
2022_07_24_09_40_24,5
2022_07_24_09_50_23,5
2022_07_24_10_00_24,3
2022_07_24_10_10_24,5
2022_07_24_10_20_24,3
2022_07_24_10_30_23,3
2022_07_24_10_40_23,0
2022_07_24_10_50_23,0
2022_07_24_11_00_24,0
2022_07_24_11_10_24,2
2022_07_24_11_20_24,4
2022_07_24_11_30_23,1
2022_07_24_11_40_24,1
2022_07_24_11_50_24,1
2022_07_24_12_00_24,1
2022_07_24_12_10_24,1
2022_07_24_12_20_24,1
2022_07_24_12_30_24,1
2022_07_24_12_40_23,1
2022_07_24_12_50_24,1
2022_07_24_13_00_24,1
2022_07_24_13_10_23,1
2022_07_24_13_20_24,1
2022_07_24_13_30_24,1
2022_07_24_13_40_24,1
2022_07_24_13_50_23,1
2022_07_24_14_00_23,1
2022_07_24_14_10_24,1
2022_07_24_14_20_24,1
2022_07_24_14_30_24,1
2022_07_24_14_40_24,3
2022_07_24_14_50_23,3
2022_07_24_15_00_24,3
2022_07_24_15_10_24,3
2022_07_24_15_20_24,3
2022_07_24_15_30_24,2
2022_07_24_15_40_24,2
2022_07_24_15_50_24,4
2022_07_24_16_00_24,4
2022_07_24_16_10_24,2
2022_07_24_16_20_24,4
2022_07_24_16_30_24,5
2022_07_24_16_40_23,4
2022_07_24_16_50_24,4
2022_07_24_17_00_23,4
2022_07_24_17_10_24,3
2022_07_24_17_20_24,3
2022_07_24_17_30_24,4
2022_07_24_17_40_23,1
2022_07_24_17_50_24,4
2022_07_24_18_00_24,1
2022_07_24_18_10_23,1
2022_07_24_18_20_23,3
2022_07_24_18_30_24,0
2022_07_24_18_40_24,0
2022_07_24_18_50_24,0
2022_07_24_19_00_23,0
2022_07_24_19_10_24,0
2022_07_24_19_20_24,0
2022_07_24_19_30_24,0
2022_07_24_19_40_23,0
2022_07_24_19_50_23,0
2022_07_24_20_00_24,0
2022_07_24_20_10_24,0
2022_07_24_20_20_24,0
2022_07_24_20_30_24,0
2022_07_24_20_40_24,0
2022_07_24_20_50_24,0
2022_07_24_21_00_24,0
2022_07_24_21_10_24,0
2022_07_24_21_20_23,0
2022_07_24_21_30_23,0
2022_07_24_21_40_23,0
2022_07_24_21_50_24,0
2022_07_24_22_00_24,0
2022_07_24_22_10_24,0
2022_07_24_22_20_24,0
2022_07_24_22_30_23,0
2022_07_24_22_40_24,0
2022_07_24_22_50_24,0
2022_07_24_23_00_23,0
2022_07_24_23_10_23,3
2022_07_24_23_20_24,1
2022_07_24_23_30_23,1
2022_07_24_23_40_24,1
2022_07_24_23_50_24,1
2022_07_25_00_00_24,1
2022_07_25_00_10_24,1
2022_07_25_00_20_23,1
2022_07_25_00_30_24,1
2022_07_25_00_40_24,1
2022_07_25_00_50_24,1
2022_07_25_01_00_23,1
2022_07_25_01_10_23,1
2022_07_25_01_20_24,1
2022_07_25_01_30_23,4
2022_07_25_01_40_24,1
2022_07_25_01_50_24,1
2022_07_25_02_00_23,1
2022_07_25_02_10_23,1
2022_07_25_02_20_23,1
2022_07_25_02_30_24,1
2022_07_25_02_40_24,1
2022_07_25_02_50_23,1
2022_07_25_03_00_23,1
2022_07_25_03_10_23,4
2022_07_25_03_20_24,4
2022_07_25_03_30_23,4
2022_07_25_03_40_23,1
2022_07_25_03_50_23,1
2022_07_25_04_00_24,5
2022_07_25_04_10_24,3
2022_07_25_04_20_23,3
2022_07_25_04_30_23,3
2022_07_25_04_40_23,3
2022_07_25_04_50_23,0
2022_07_25_05_00_23,5
2022_07_25_05_10_24,4
2022_07_25_05_20_24,4
2022_07_25_05_30_23,4
2022_07_25_05_40_23,4
2022_07_25_05_50_24,4
2022_07_25_06_00_23,5
2022_07_25_06_10_24,3
2022_07_25_06_20_23,3
2022_07_25_06_30_24,3
2022_07_25_06_40_23,3
2022_07_25_06_50_24,3
2022_07_25_07_00_23,3
2022_07_25_07_10_24,5
2022_07_25_07_20_23,5
2022_07_25_07_30_23,4
2022_07_25_07_40_23,4
2022_07_25_07_50_24,4
2022_07_25_08_00_23,4
2022_07_25_08_10_23,4
2022_07_25_08_20_23,4
2022_07_25_08_30_23,5
2022_07_25_08_40_24,5
2022_07_25_08_50_24,5
2022_07_25_09_00_23,5
2022_07_25_09_10_23,5
2022_07_25_09_20_23,3
2022_07_25_09_30_24,3
2022_07_25_09_40_24,5
2022_07_25_10_30_23,4
2022_07_25_10_40_24,4
2022_07_25_10_50_23,5
2022_07_25_11_00_23,4
2022_07_25_11_20_23,5
2022_07_25_11_30_23,4
2022_07_25_11_40_23,4
2022_07_25_11_50_23,4
2022_07_25_12_00_23,3
2022_07_25_12_10_23,3
2022_07_25_12_20_23,0
2022_07_25_12_30_23,0
2022_07_25_12_40_23,0
2022_07_25_12_50_24,0
2022_07_25_13_00_23,3
2022_07_25_13_10_23,3
2022_07_25_13_20_24,3
2022_07_25_13_30_23,2
2022_07_25_13_40_23,3
2022_07_25_13_50_23,3
2022_07_25_14_00_23,3
2022_07_25_14_10_23,3
2022_07_25_14_20_23,3
2022_07_25_14_30_23,3
2022_07_25_14_40_23,0
2022_07_25_16_10_24,4
2022_07_25_16_20_24,4
2022_07_25_16_30_24,4
2022_07_25_16_40_23,1
2022_07_25_16_50_24,1
2022_07_25_17_00_24,1
2022_07_25_17_10_24,1
2022_07_25_17_20_24,1
2022_07_25_17_30_24,1
2022_07_25_17_40_23,1
2022_07_25_17_50_24,1
2022_07_25_18_00_24,1
2022_07_25_18_10_23,1
2022_07_25_18_20_23,1
2022_07_25_18_30_24,1
2022_07_25_18_40_24,1
2022_07_25_18_50_24,1
2022_07_25_19_00_24,3
2022_07_25_19_10_24,0
2022_07_25_19_20_24,0
2022_07_25_19_30_23,0
2022_07_25_19_40_23,0
